onpix,x_bar,y_bar,x2ybr,xy2br,letter
474,18.434599156118143,24.753164556962027,76030932.8185654,137083752.36919832,B
1038,-0.32947976878612717,19.433526011560694,117253.4527938343,406126728.1676301,M
1565,-21.520127795527156,19.227476038338658,1132827118.936741,904312310.4702876,0
2524,-63.48890649762282,17.95760697305864,25658440309.671158,2052728871.9679081,3
3024,-83.47619047619048,16.4265873015873,63679782565.0086,2465875365.7169313,4
3435,-109.25269286754003,16.77933042212518,140755347157.73798,3320090620.211354,A
507,20.21104536489152,24.660749506903354,104587332.04339251,155709665.68836293,8
1095,-0.428310502283105,17.50228310502283,220034.08767123288,366627487.0118722,9
1635,-21.77492354740061,17.69480122324159,1265953562.1223242,835980046.6360856,6
2632,-67.77241641337386,17.273176291793312,31794184208.01634,2065314861.4274316,R
3178,-88.16519823788546,16.38703587161737,78456482886.76495,2710412356.123348,E
3662,-109.82577826324413,17.481430912069907,161662040300.55,4095939179.117149,N
420,18.604761904761904,21.776190476190475,60768270.56190476,83252274.15238096,2
899,-1.2836484983314793,16.00111234705228,1329246.0311457175,206468953.05005562,4
2305,-66.2590021691974,12.769631236442516,23305305405.839478,865609577.0073752,E
2822,-85.7859673990078,12.801559177888024,58565076780.47768,1304163892.1282778,K
3195,-112.36338028169014,14.084507042253522,128801060127.24132,2023733398.0062597,A
370,17.375675675675677,20.583783783783783,41109046.59189189,57691224.08648649,C
852,-0.31690140845070425,18.191314553990612,73214.69953051643,239656349.13967136,A
1301,-20.13143735588009,14.643351268255188,684915512.8747118,362383739.6925442,7
2242,-59.39161462979482,14.87243532560214,17714710560.950935,1110831540.55843,6
2818,-76.52448545067423,14.144783534421576,46470203745.75799,1587693021.2271113,2
3223,-100.01023890784982,14.912503878374185,103834105947.33727,2308619555.871548,X
458,21.268558951965066,35.20742358078603,94473329.77074236,258882040.70960698,8
881,-1.7185017026106697,32.12599318955732,2287647.922814983,799243058.3972758,2
1315,-24.7361216730038,31.506463878326997,1056463649.5163498,1713918815.4296577,0
1901,-76.32667017359285,27.434508153603367,21030999522.67228,2717075270.301946,T
2131,-102.96386672923511,27.454716095729705,48098213225.35711,3419740935.4584703,T
2449,-124.19477337688852,28.394038383013473,92433522020.343,4831446993.844834,E
419,19.894988066825775,21.355608591885442,69157736.26252984,79685746.56801909,D
903,-2.1605758582502768,15.547065337763012,3798421.57696567,196658117.94241416,E
1414,-18.968175388967467,15.576379066478076,718350168.1548798,484415587.98231965,3
2790,-83.34086021505377,13.117562724014338,54027270490.548744,1338454437.3827958,0
425,19.458823529411763,22.312941176470588,68071589.18117647,89505337.99529412,N
993,0.8660624370594159,17.26283987915408,738622.7834843907,293257452.0120846,D
1401,-21.6395431834404,16.74732334047109,917809932.6723769,549727633.7944325,J
2402,-67.89467110741049,14.218151540383014,26573928065.69234,1165388891.8667777,9
2957,-82.10957051065269,13.833615150490362,58911008579.71052,1672170031.9262767,0
3303,-104.70632758098698,14.681198910081743,119536357084.8459,2350051165.8734484,2
1034,-4.81431334622824,2.2901353965183753,24733570.84139265,5597352.330754352,P
1588,-25.71095717884131,5.019521410579345,1664910079.1983628,63457627.24622166,K
2173,-45.07823285780027,4.394385641969627,9586355568.964565,91100299.79567419,5
2723,-69.17407271391848,5.210062431142123,35453815862.4921,201123969.27653325,9
